frame_idx,file_name,status,iou,gt_ann_id,gt_class_name,gt_x1,gt_y1,gt_x2,gt_y2,pred_class_id,pred_class_name,pred_conf,pred_x1,pred_y1,pred_x2,pred_y2
30,0407_frame_0030.jpg,TP,0.9091405029616231,177,ripe,2079.0,617.0,2248.31,776.17,0,ripe,0.92919921875,2083.75,610.0,2252.5,776.25
30,0407_frame_0030.jpg,TP,0.8432069125492528,176,unripe,1942.0,695.0,2093.37,817.5,1,unripe,0.28466796875,1945.0,680.625,2095.0,821.875
30,0407_frame_0030.jpg,TP,0.7430713259575273,178,ripe,2689.0,664.0,2804.12,768.7,0,ripe,0.74560546875,2690.0,641.25,2810.0,774.375
30,0407_frame_0030.jpg,FN,,179,unripe,2580.0,375.0,2693.9,521.02,,,,,,,
30,0407_frame_0030.jpg,FN,,180,ripe,2716.0,522.0,2821.88,574.03,,,,,,,
30,0407_frame_0030.jpg,FN,,181,ripe,2031.0,326.0,2118.63,412.71,,,,,,,
30,0407_frame_0030.jpg,FP,,,,,,,,1,unripe,0.441650390625,2810.0,669.375,2882.5,775.0
30,0407_frame_0030.jpg,FP,,,,,,,,0,ripe,0.43310546875,2013.75,315.625,2242.5,613.4375
36,0407_frame_0036.jpg,TP,0.917705474158158,116,unripe,1919.0,687.0,2067.53,825.4,1,unripe,0.67822265625,1920.0,685.0,2075.0,823.125
36,0407_frame_0036.jpg,TP,0.8981485489910713,118,ripe,2639.0,666.0,2788.37,779.9300000000001,0,ripe,0.89306640625,2637.5,663.125,2787.5,772.5
36,0407_frame_0036.jpg,TP,0.8875639536899551,117,ripe,2060.0,619.0,2224.56,772.59,0,ripe,0.935546875,2056.25,609.375,2225.0,778.125
36,0407_frame_0036.jpg,FN,,119,unripe,2513.0,373.0,2663.91,549.71,,,,,,,
36,0407_frame_0036.jpg,FN,,120,ripe,2694.0,523.0,2805.4,578.7,,,,,,,
36,0407_frame_0036.jpg,FN,,121,ripe,2731.0,628.0,2826.36,688.76,,,,,,,
36,0407_frame_0036.jpg,FP,,,,,,,,1,unripe,0.408203125,2795.0,666.25,2880.0,781.875
42,0407_frame_0042.jpg,TP,0.8955527574214499,42,unripe,1899.0,675.0,2044.48,820.48,1,unripe,0.7568359375,1892.5,673.75,2048.75,825.0
42,0407_frame_0042.jpg,TP,0.8797085325077093,43,ripe,2036.0,619.0,2195.92,774.47,0,ripe,0.93212890625,2030.0,611.25,2200.0,777.5
42,0407_frame_0042.jpg,TP,0.7939824685996301,44,ripe,2629.0,661.0,2767.82,779.83,0,ripe,0.798828125,2620.0,642.5,2770.0,778.75
42,0407_frame_0042.jpg,FN,,45,ripe,2666.0,525.0,2790.38,581.64,,,,,,,
42,0407_frame_0042.jpg,FN,,46,unripe,2764.0,666.0,2879.5,797.04,,,,,,,
42,0407_frame_0042.jpg,FN,,47,unripe,2455.0,370.0,2630.62,563.65,,,,,,,
42,0407_frame_0042.jpg,FN,,48,ripe,2719.0,633.0,2800.62,683.03,,,,,,,
48,0407_frame_0048.jpg,TP,0.9823331298130509,20,ripe,2007.0,631.0,2176.0,779.0,0,ripe,0.935546875,2007.5,630.0,2176.25,780.0
48,0407_frame_0048.jpg,TP,0.8837095523853359,22,unripe,2436.0,373.0,2603.47,567.03,1,unripe,0.2088623046875,2423.75,372.1875,2605.0,558.75
48,0407_frame_0048.jpg,TP,0.8715464388449318,21,unripe,1871.0,657.0,2015.37,818.69,1,unripe,0.9169921875,1872.5,661.875,2023.75,825.625
48,0407_frame_0048.jpg,TP,0.7806026855417518,18,ripe,2606.0,667.0,2756.0,768.0,0,ripe,0.6953125,2607.5,647.5,2760.0,772.5
48,0407_frame_0048.jpg,FN,,19,ripe,2820.0,529.0,2879.0,619.0,,,,,,,
48,0407_frame_0048.jpg,FN,,23,unripe,2761.0,666.0,2880.36,780.1,,,,,,,
48,0407_frame_0048.jpg,FN,,24,ripe,2665.0,527.0,2771.33,575.1,,,,,,,
48,0407_frame_0048.jpg,FN,,25,ripe,2693.0,619.0,2785.83,684.83,,,,,,,
54,0407_frame_0054.jpg,TP,0.9513816019586853,209,ripe,1987.0,641.0,2149.0,777.0,0,ripe,0.92724609375,1987.5,637.5,2147.5,778.75
54,0407_frame_0054.jpg,TP,0.8403526567703278,210,unripe,1853.0,684.0,1996.21,826.06,1,unripe,0.8701171875,1852.5,667.5,2005.0,826.25
54,0407_frame_0054.jpg,TP,0.6649341851073345,207,ripe,2593.0,668.0,2746.0,772.0,0,ripe,0.650390625,2595.0,630.625,2760.0,772.5
54,0407_frame_0054.jpg,FN,,208,ripe,2338.0,390.0,2424.0,553.0,,,,,,,
54,0407_frame_0054.jpg,FN,,211,unripe,2746.0,663.0,2879.97,796.97,,,,,,,
54,0407_frame_0054.jpg,FN,,212,unripe,2408.0,377.0,2576.62,565.26,,,,,,,
54,0407_frame_0054.jpg,FN,,213,ripe,2654.0,528.0,2760.89,577.94,,,,,,,
54,0407_frame_0054.jpg,FN,,214,ripe,2683.0,629.0,2777.41,682.06,,,,,,,
54,0407_frame_0054.jpg,FN,,215,ripe,2823.0,532.0,2878.4,610.02,,,,,,,
60,0407_frame_0060.jpg,TP,0.932370172520879,105,ripe,2280.0,382.0,2392.03,573.72,0,ripe,0.23583984375,2282.5,378.4375,2395.0,574.375
60,0407_frame_0060.jpg,TP,0.926638225125409,104,unripe,2733.0,666.0,2883.22,788.37,1,unripe,0.744140625,2740.0,665.625,2880.0,788.75
60,0407_frame_0060.jpg,TP,0.8296115389686928,101,unripe,1829.0,684.0,1979.56,822.8199999999999,1,unripe,0.4775390625,1832.5,671.25,1987.5,826.875
60,0407_frame_0060.jpg,TP,0.8187250693068863,103,ripe,2580.0,666.0,2729.37,769.8,0,ripe,0.8681640625,2580.0,645.625,2730.0,771.875
60,0407_frame_0060.jpg,TP,0.7435180722891248,102,ripe,1969.0,650.0,2106.75,776.0,0,ripe,0.6396484375,1962.5,625.0,2112.5,780.625
60,0407_frame_0060.jpg,FN,,100,unripe,2372.0,371.0,2550.33,564.27,,,,,,,
60,0407_frame_0060.jpg,FN,,106,ripe,2644.0,523.0,2750.89,575.28,,,,,,,
60,0407_frame_0060.jpg,FN,,107,ripe,2661.0,609.0,2758.53,680.0,,,,,,,
60,0407_frame_0060.jpg,FN,,108,ripe,2803.0,528.0,2877.12,618.08,,,,,,,
66,0407_frame_0066.jpg,TP,0.9588406175539077,28,ripe,2222.0,381.0,2364.0,597.0,0,ripe,0.93505859375,2223.75,378.4375,2366.25,597.5
66,0407_frame_0066.jpg,TP,0.9035962289561801,31,unripe,2730.0,669.0,2878.25,782.14,1,unripe,0.3857421875,2730.0,668.75,2880.0,792.5
66,0407_frame_0066.jpg,TP,0.8786088241767616,30,unripe,2355.0,371.0,2525.87,573.86,1,unripe,0.442626953125,2340.0,369.6875,2525.0,566.5625
66,0407_frame_0066.jpg,TP,0.865419875320817,27,ripe,2567.0,668.0,2719.0,773.0,0,ripe,0.791015625,2570.0,655.0,2717.5,773.125
66,0407_frame_0066.jpg,FN,,26,ripe,2788.0,529.0,2878.0,620.0,,,,,,,
66,0407_frame_0066.jpg,FN,,29,unripe,1814.0,683.0,1959.91,820.3199999999999,,,,,,,
66,0407_frame_0066.jpg,FN,,32,ripe,2635.0,525.0,2741.18,596.2,,,,,,,
66,0407_frame_0066.jpg,FN,,33,ripe,2650.0,621.0,2752.43,692.2,,,,,,,
